model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
sapbert-pubmed/model-0_0002,models\sapbert-pubmed\model-0_0002,0.5208333333333334,0.5625,0.5319444444444444,60.52101,21,48,0.005394205451011658,768
sapbert-pubmed/model-0_0005,models\sapbert-pubmed\model-0_0005,0.5208333333333334,0.5625,0.5354166666666667,63.552143,21,48,0.005441720287005107,768
sapbert-pubmed/model-0_0043,models\sapbert-pubmed\model-0_0043,0.5,0.5416666666666666,0.517361111111111,66.685104,22,48,0.004829247792561849,768
biomedical-agressive/model-0_0079,models\biomedical-agressive\model-0_0079,0.5,0.6875,0.5777777777777778,74.074554,15,48,0.005463848511377971,768
sapbert-pubmed/model-0_0000_1,models\sapbert-pubmed\model-0_0000_1,0.5,0.6041666666666666,0.5309027777777778,58.592373,19,48,0.004896481831868489,768
sapbert-pubmed/model-0_0004,models\sapbert-pubmed\model-0_0004,0.5,0.5833333333333334,0.5177083333333333,60.22111,20,48,0.006025562683741252,768
medcpt/model-0_0366,models\medcpt\model-0_0366,0.5,0.6458333333333334,0.5430555555555555,68.59606,17,48,0.005656972527503967,768
medcpt/model-0_0589,models\medcpt\model-0_0589,0.5,0.6458333333333334,0.5402777777777777,69.17344,17,48,0.005288163820902507,768
paraphrase-agressive/model-0_0113,models\paraphrase-agressive\model-0_0113,0.5,0.5416666666666666,0.5208333333333334,67.96624,22,48,0.0052854617436726885,384
medcpt/model-0_0833,models\medcpt\model-0_0833,0.5,0.625,0.5388888888888889,70.3625,18,48,0.00571809709072113,768
sapbert-pubmed/model-0_0020,models\sapbert-pubmed\model-0_0020,0.5,0.5833333333333334,0.5267361111111112,59.060905,20,48,0.0045836567878723145,768
sapbert-pubmed/model-0_0006,models\sapbert-pubmed\model-0_0006,0.5,0.5625,0.525,61.02845,21,48,0.00570744772752126,768
sapbert-pubmed/model-0_0012,models\sapbert-pubmed\model-0_0012,0.5,0.6041666666666666,0.5281250000000001,61.982452,19,48,0.0054874469836552935,768
medcpt/model-0_1271,models\medcpt\model-0_1271,0.4791666666666667,0.5833333333333334,0.515625,71.76529,20,48,0.005155349771181743,768
biomedical-agressive/model-0_0088,models\biomedical-agressive\model-0_0088,0.4791666666666667,0.6458333333333334,0.5416666666666666,63.547356,17,48,0.005047013362248738,768
sapbert-pubmed/model-0_0209,models\sapbert-pubmed\model-0_0209,0.4791666666666667,0.5833333333333334,0.5145833333333333,62.137367,20,48,0.004713013768196106,768
sapbert-pubmed/model-0_0034,models\sapbert-pubmed\model-0_0034,0.4791666666666667,0.5833333333333334,0.5118055555555555,59.187656,20,48,0.004734650254249573,768
sapbert-pubmed/model-0_0339,models\sapbert-pubmed\model-0_0339,0.4791666666666667,0.5208333333333334,0.49374999999999997,60.15361,23,48,0.005506575107574463,768
all-mini-fine/model-0_0878,models\all-mini-fine\model-0_0878,0.4791666666666667,0.6041666666666666,0.5215277777777778,50.32352,19,48,0.0032439082860946655,384
sapbert-pubmed/model-0_0926,models\sapbert-pubmed\model-0_0926,0.4791666666666667,0.5416666666666666,0.49374999999999997,57.79928,22,48,0.006775960326194763,768
