model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
sapbert-pubmed/model-0_0001,models\sapbert-pubmed\model-0_0001,0.5416666666666666,0.6041666666666666,0.5631944444444444,56.522785,19,48,0.005185748140017192,768
roberta-catalan/model-0_0001,models\roberta-catalan\model-0_0001,0.5416666666666666,0.5833333333333334,0.5572916666666666,69.487404,20,48,0.004976158340771993,768
sapbert-pubmed/model-0_0126,models\sapbert-pubmed\model-0_0126,0.5416666666666666,0.5625,0.5520833333333334,58.582592,21,48,0.00561775267124176,768
sapbert-pubmed/model-0_0006,models\sapbert-pubmed\model-0_0006,0.5416666666666666,0.5833333333333334,0.55625,59.130398,20,48,0.0049476176500320435,768
sapbert-pubmed/model-0_0012,models\sapbert-pubmed\model-0_0012,0.5416666666666666,0.625,0.5729166666666666,60.113346,18,48,0.004747450351715088,768
sapbert-pubmed/model-0_0004,models\sapbert-pubmed\model-0_0004,0.5416666666666666,0.5833333333333334,0.55625,58.743626,20,48,0.004913354913393657,768
pubmedbert-marco/model-0_0035,models\pubmedbert-marco\model-0_0035,0.5416666666666666,0.625,0.576388888888889,56.35867,18,48,0.005444556474685669,768
roberta-catalan/model-0_0000_1,models\roberta-catalan\model-0_0000_1,0.5416666666666666,0.5833333333333334,0.5572916666666666,69.86424,20,48,0.006447633107503255,768
roberta-catalan/model-0_0000,models\roberta-catalan\model-0_0000,0.5416666666666666,0.5833333333333334,0.5572916666666666,69.09086,20,48,0.005253156026204427,768
sapbert-pubmed/model-0_0020,models\sapbert-pubmed\model-0_0020,0.5208333333333334,0.5625,0.5416666666666666,59.208324,21,48,0.005767325560251872,768
biomedical-agressive/model-0_0088,models\biomedical-agressive\model-0_0088,0.5208333333333334,0.6041666666666666,0.5625,71.75326,19,48,0.005319024125734965,768
pubmedbert-marco/model-0_0160,models\pubmedbert-marco\model-0_0160,0.5208333333333334,0.6666666666666666,0.5708333333333333,55.021286,16,48,0.004936084151268005,768
sapbert-pubmed/model-0_0003,models\sapbert-pubmed\model-0_0003,0.5208333333333334,0.6041666666666666,0.5503472222222222,56.63473,19,48,0.005261242389678955,768
biomedical-roberta/model-0_0007,models\biomedical-roberta\model-0_0007,0.5208333333333334,0.6666666666666666,0.564236111111111,64.74394,16,48,0.005119701226552327,768
biomedical-roberta/model-0_0001,models\biomedical-roberta\model-0_0001,0.5208333333333334,0.6666666666666666,0.5815972222222222,65.47248,16,48,0.005003432432810466,768
biomedical-agressive/model-0_0079,models\biomedical-agressive\model-0_0079,0.5208333333333334,0.625,0.5506944444444445,82.61961,18,48,0.005615706245104472,768
sapbert-pubmed/model-0_0209,models\sapbert-pubmed\model-0_0209,0.5208333333333334,0.6041666666666666,0.5493055555555556,57.712696,19,48,0.0048957715431849165,768
sapbert-pubmed/model-0_0339,models\sapbert-pubmed\model-0_0339,0.5208333333333334,0.5833333333333334,0.548611111111111,55.741634,20,48,0.0054307977358500166,768
biomedical-roberta/model-0_0000,models\biomedical-roberta\model-0_0000,0.5208333333333334,0.6666666666666666,0.5815972222222222,65.4794,16,48,0.005932509899139404,768
biomedical-agressive/model-0_1000,models\biomedical-agressive\model-0_1000,0.5,0.6666666666666666,0.5545138888888889,65.66587,16,48,0.005487466851870219,768
biomedical-roberta/model-0_0000_1,models\biomedical-roberta\model-0_0000_1,0.5,0.625,0.5402777777777777,65.14884,18,48,0.005365908145904541,768
sapbert-pubmed/model-0_0043,models\sapbert-pubmed\model-0_0043,0.5,0.6041666666666666,0.5399305555555556,62.03665,19,48,0.005062242348988851,768
medcpt/model-0_2250,models\medcpt\model-0_2250,0.5,0.7916666666666666,0.5895833333333333,70.7139,10,48,0.004870817065238953,768
all-mini-fine/model-0_0878,models\all-mini-fine\model-0_0878,0.5,0.6875,0.5815972222222222,46.132065,15,48,0.003544191519419352,384
sapbert-pubmed/model-0_0926,models\sapbert-pubmed\model-0_0926,0.4791666666666667,0.6041666666666666,0.53125,53.520416,19,48,0.0053650687138239546,768
roberta-catalan/model-0_0005,models\roberta-catalan\model-0_0005,0.4791666666666667,0.5625,0.5208333333333334,70.49804,21,48,0.005744487047195435,768
all-mini-fine/model-0_0021,models\all-mini-fine\model-0_0021,0.4791666666666667,0.7083333333333334,0.571875,46.462753,14,48,0.003359481692314148,384
