Strategy,Top1_Accuracy,Top5_Accuracy,MRR,Top1_Correct,Top5_Correct,Total_Queries
solo_embeddings,0.250,0.500,0.3681,12,24,48
solo_mrf,0.250,0.521,0.3713,12,25,48
hybrid_mrf_embeddings,0.333,0.604,0.4661,16,29,48
