Método,Documentos,Dimensiones,Top-1 Accuracy,Top-3 Accuracy,Top-5 Accuracy,MRR
Baseline (Original),24,384,0.4167,0.5729,0.6250,0.5289
Augmentación Semántica,94,384,0.4167,0.4896,0.5417,0.4886
